"TCGA-A1-A0SB" "TCGA-A1-A0SD" "TCGA-A1-A0SE" "TCGA-A1-A0SF" "TCGA-A1-A0SG" "TCGA-A1-A0SH"
"1" 164 546 1341 836 512 1126
"144568" 94 144 114 77 76 127
"2" 102123 107181 101192 50316 45826 81857
"53947" 890 1409 1711 1142 1751 1997
"51146" 6 5 2 2 2 7
"8086" 2139 2219 4294 3052 2450 3178
"65985" 6533 3102 5271 1248 5695 4732
"13" 42 4 13 4 16 17
"51166" 694 226 200 67 130 544
"79719" 2913 9069 10465 3366 10226 7871
"22848" 3811 5545 6963 2341 1933 7430
"14" 6514 9517 18397 8569 10431 14066
"57505" 1764 2193 3338 1463 968 2438
"80755" 2354 1846 3391 2169 2273 3113
"16" 10855 9400 16774 6233 7120 15946
"60496" 3234 2936 3766 3134 4711 3294
"132949" 1299 1589 2548 902 1104 2066
"10157" 1587 1852 2014 852 469 2278
"26574" 2870 5656 9522 4625 3473 7669
"9625" 317 312 736 169 92 396
"18" 1422 3956 12660 3237 21774 5609
"10349" 143 177 319 146 76 181
"79963" 651 442 781 439 423 620
"26154" 62 568 1123 87 3682 1400
"154664" 5341 84 135 64 71 115
"650655" 32 53 85 32 109 42
"19" 2095 7579 5800 1933 2519 6523
"20" 4701 4511 9443 2674 5113 4964
"21" 2601 7756 16479 4953 31372 8551
"24" 18 778 176 160 704 506
"23461" 1071 2107 1600 615 249 2337
"23460" 170 735 849 442 547 1149
"10347" 408 583 2140 752 1061 1022
"10351" 548 1060 704 377 417 667
"10350" 322 649 1176 543 413 875
"23456" 1285 2419 3708 2218 1207 3535
"8647" 4 14 11 3 6 8
"5243" 78 892 1416 480 343 563
"5244" 41 201 137 89 141 321
"340273" 161 185 264 134 169 206
"10058" 2204 2993 4492 1617 1910 4063
"22" 2125 2116 3533 1283 1339 2257
"11194" 842 2662 4484 2864 2891 4494
"23457" 702 1222 868 494 979 1010
"89845" 1582 1374 2719 1156 1444 2482
"85320" 74 5552 7102 6986 22694 57462
"94160" 3 135 17 120 178 316
"150000" 18 21 54 87 135 20
"4363" 5129 4951 9183 3631 6576 8385
"1244" 54 390 38 71 32 117
"8714" 118 2786 2814 1925 1227 3910
"10257" 320 861 769 361 450 2253
"10057" 3084 14156 2012 2809 1045 7995
"653190" 1 37 93 29 50 10
"730013" 0 36 152 114 103 38
"368" 43 267 741 309 811 223
"6833" 0 1314 3521 592 240 1658
"10060" 2888 5518 5348 3218 3146 4120
"215" 554 1138 1524 875 1356 3807
"225" 22 93 74 97 24 73
"5825" 8659 11841 27367 4833 13124 24123
"5826" 1153 2020 3424 1547 2168 2449
"6059" 7443 8124 10471 5451 4751 8311
"23" 6863 7989 11773 4630 3581 11784
"10061" 4523 5668 8793 4712 4607 8029
"55324" 3449 5243 6645 3319 4345 10160
"9619" 13908 14155 5674 2487 4859 3893
"9429" 361 764 1031 366 159 578
