"TCGA-E9-A1N6" "TCGA-E9-A1N8" "TCGA-E9-A1N9" "TCGA-E9-A1NA" "TCGA-E9-A1ND" "TCGA-E9-A1NE" "TCGA-E9-A1NF" "TCGA-E9-A1NG" "TCGA-E9-A1NH" "TCGA-E9-A1NI" "TCGA-E9-A1QZ" "TCGA-E9-A1R0" "TCGA-E9-A1R2" "TCGA-E9-A1R3" "TCGA-E9-A1R4" "TCGA-E9-A1R5" "TCGA-E9-A1R6" "TCGA-E9-A1R7" "TCGA-E9-A1RB" "TCGA-E9-A1RC"
"1" 200 326 148 764 183 434 302 564 1143 664 231 699 1203 277 649 898 1036 255 339 570
"144568" 157 325 992 95 17856 278 274 263 127 123 76 102 160 96 134 199 70 555 280 236
"2" 21058 36229 56265 23397 39982 112416 55479 107518 76414 29772 77744 54139 50145 65226 74575 31752 19258 50112 72196 16215
"53947" 628 204 707 526 1775 700 1071 1692 3213 2528 620 867 2087 906 1143 2121 2172 794 1165 1418
"51146" 2 0 0 47 4 3 0 1 2 3 2 3 6 0 8 0 8 0 18 0
"8086" 1665 2663 1750 1987 1799 1950 3406 2373 2688 4339 2092 3549 2861 2551 4023 3449 4293 1920 3114 2552
"65985" 8039 719 2076 4596 7178 3081 2914 3003 2959 4065 3385 3720 2660 3552 7157 5393 5620 6645 8129 5585
"13" 19 3 18 14 125 56 85 67 29 70 144 267 7 33 16 42 6 60 290 12
"51166" 674 617 1286 952 747 304 323 398 257 141 169 100 483 213 260 335 276 192 160 476
"79719" 5210 5403 4578 6319 5094 9948 5104 7872 10151 11143 9243 10181 9706 8369 7771 16044 12427 15891 12066 13496
"22848" 2596 2615 3997 4315 3850 8011 3587 5170 5342 2766 4415 4211 4492 5135 6157 13739 2653 9296 6140 6210
"14" 5549 8784 9219 8697 9828 8984 11746 7731 10756 9850 7686 11519 13225 8134 17827 15603 14656 11959 6335 9500
"57505" 1446 3254 3444 1197 3675 1911 1293 1976 2195 2179 1439 1880 3306 1879 2632 3086 1967 2274 1213 1915
"80755" 908 1179 2140 1280 1461 1822 1801 2058 2421 3332 2800 2609 5043 2761 3158 6227 2765 3837 1329 2095
"16" 18764 15111 13803 36334 13040 14204 11054 10156 7948 11306 10633 9119 13895 8905 16085 14357 19010 12133 20399 17812
"60496" 4295 2158 3925 3329 4480 4951 2485 3231 5077 4359 4441 6291 3310 5401 13182 7647 3678 4520 6377 4463
"132949" 794 536 2210 1431 699 2182 644 1555 1086 1295 1943 1697 1852 1377 1481 1921 1260 1775 2771 2692
"10157" 623 299 949 755 1206 1582 1209 1756 1778 1007 1067 1682 1109 1115 1251 942 748 2746 668 765
"26574" 3361 2724 7501 19180 4595 6840 3291 4670 4154 5222 6968 6188 9600 5171 6119 11001 7096 11527 4834 6079
"9625" 108 217 329 78 199 170 102 89 312 477 515 195 2843 301 315 689 241 55 293 143
"18" 2145 374 775 2031 1217 6986 3662 16433 19290 26763 10189 27909 15503 13038 39665 9888 17302 26876 18239 12506
"10349" 49 60 219 62 97 365 74 72 165 71 508 616 221 52 147 124 53 227 58 66
"79963" 342 455 1293 924 629 678 637 481 873 542 633 629 1035 577 954 745 429 1617 529 714
"26154" 5170 162 742 5273 572 6830 2782 1485 5994 1746 13863 3454 553 8724 12531 12914 69 36 4949 3382
"154664" 70 4614 144 78 117 158 86 117 135 67 86 87 132 93 159 160 87 324 126 210
"650655" 2 53 147 101 20 107 33 32 142 102 102 55 110 61 303 105 57 66 53 117
"19" 3069 2764 5305 5752 5989 5972 4719 5524 3141 2064 3252 4410 5175 6744 7181 2956 2048 5333 5033 6342
"20" 5083 1683 1851 5462 5913 6693 4071 3383 5655 3292 4172 5190 17546 5153 34681 9856 9103 11547 7426 6629
"21" 2484 1027 2640 10779 1302 6444 4905 2566 11229 10207 11073 26418 9603 5859 39353 24626 14103 8361 5770 37915
"24" 305 67 86 397 242 407 356 805 226 792 119 335 632 884 1412 187 24 21 74 111
"23461" 275 389 1096 1393 951 5375 357 733 604 1204 3870 1903 2382 1110 1605 2488 2341 976 1231 988
"23460" 336 130 919 244 117 2391 958 763 1313 324 1458 1295 389 493 380 649 129 686 182 150
"10347" 985 267 501 548 976 1227 873 509 1714 678 872 1472 1307 1044 5245 1727 1452 2738 627 468
"10351" 126 73 1279 674 113 2259 213 124 505 134 3127 3618 711 133 464 771 96 747 152 254
"10350" 209 80 732 235 156 2330 703 529 803 341 2214 1621 473 398 501 582 173 532 250 270
"23456" 1537 1896 2346 3777 1214 6122 1095 1643 1961 2772 4047 1650 2793 2457 2261 5645 1926 6696 4082 5265
"8647" 0 1 6 0 45 22 0 0 6 0 27 20 2 2 2 0 1 9 2 1
"5243" 38 41 1161 76 367 2657 135 150 258 127 904 291 466 218 386 262 55 572 92 45
"5244" 142 15 115 108 135 198 299 511 256 209 177 86 119 236 211 257 100 208 75 203
"340273" 97 128 205 143 167 348 269 109 213 158 628 224 332 149 328 299 212 292 221 230
"10058" 3085 3229 2022 4976 2327 4009 3071 1649 2044 2358 3803 2227 6272 1590 4332 1120 2628 3923 1792 1094
"22" 846 1503 2408 1970 2807 2162 1401 2370 2427 1476 2357 2758 1871 1871 1349 2896 1462 4571 3715 2923
"11194" 1543 1555 1786 2220 2938 1339 2394 1791 2288 4116 2595 4149 2878 1331 2577 4629 2792 2349 2031 1256
"23457" 532 535 495 1173 900 1530 1235 956 620 2120 1695 903 967 1483 3428 2967 1059 3182 1602 1579
"89845" 1115 1730 3095 1234 3459 1544 1329 1267 2276 1482 975 1372 2171 1196 3300 2016 1054 2183 797 968
"85320" 10483 34 333 303 12 1136 7988 244 8645 2382 2445 3580 2683 4847 19353 6920 7115 1423 1347 510
"94160" 660 2 0 9 0 14 2536 2 690 34 6 28 41 422 1132 171 67 51 37 12
"150000" 1645 19 17 135 63 1907 23 94 239 101 51 112 394 2023 182 33 53 25 73 2361
"4363" 4273 6915 5763 6028 4775 5800 3681 7331 7475 5967 4845 4866 9083 8453 14747 12176 7604 12532 11776 18809
"1244" 67 66 609 986 29 76 359 36 70 67 34 66 48 33 61 47 70 43 38 67
"8714" 422 176 1070 3447 2077 2082 1210 3235 4362 907 882 3803 4450 4201 5352 9793 1359 10011 1004 878
"10257" 494 1272 612 969 1851 1090 1231 1786 822 387 739 540 426 929 698 778 234 1839 406 463
"10057" 2024 3273 1511 11521 2385 10167 3153 5426 8891 6524 9546 4319 12093 8450 20927 20281 6965 8304 3670 9847
"653190" 4 14 24 16 14 5 14 2 46 64 33 18 19 2 553 165 6 45 220 110
"730013" 9 30 37 83 4 10 47 28 214 189 99 110 40 26 377 423 65 38 581 123
"368" 65 43 121 56 38 73 390 173 934 431 911 316 371 116 8662 4055 215 1195 1108 741
"6833" 62 19 2741 22 0 197 369 107 1517 409 67 1786 495 715 296 3584 651 302 378 390
"10060" 3150 2085 9703 3464 2551 5111 6706 6332 6118 4254 5500 5531 3992 6319 5046 7238 3172 9734 4649 8795
"215" 1423 835 1671 4988 5209 1905 3480 1145 1740 2019 862 1490 2592 1956 15454 1400 2627 2279 1355 1355
"225" 11 68 82 25 181 607 28 58 67 12 527 291 151 32 88 56 17 30 17 15
"5825" 8526 5889 7518 8040 6717 20597 4146 9079 8938 10269 14263 21705 8582 7877 9148 12001 18746 12340 17777 8745
"5826" 852 789 1841 1737 2441 2062 2175 1999 2888 2211 1483 2144 1702 2238 2087 1887 1188 1455 906 1982
"6059" 5697 6286 13981 11715 8477 11551 6298 8939 5974 5623 7164 6386 10936 6623 5409 16118 6153 16440 9542 9474
